query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/18/2025 19:55,MAT1130_Engg_Standard_Hydraulic_Tubes,Engg_Standard,extraction,6,1088,386,1474,likely gpt-4.1-mini
7/18/2025 19:55,Giuliani SSP MSA,MSA,extraction,1,1088,678,1766,likely gpt-4.1-mini
7/18/2025 19:55,Giuliani SSP MSA,MSA,extraction,2,1088,816,1904,likely gpt-4.1-mini
7/18/2025 19:55,Giuliani SSP MSA,MSA,extraction,3,1088,884,1972,likely gpt-4.1-mini
7/18/2025 19:55,Giuliani SSP MSA,MSA,extraction,4,1088,921,2009,likely gpt-4.1-mini
7/18/2025 19:55,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/23/2025 20:48,Giuliani SSP MSA,MSA,extraction,1,1088,674,1762,likely gpt-4.1-mini
7/23/2025 20:48,Giuliani SSP MSA,MSA,extraction,2,1088,816,1904,likely gpt-4.1-mini
7/23/2025 20:48,Giuliani SSP MSA,MSA,extraction,3,1088,883,1971,likely gpt-4.1-mini
7/23/2025 20:48,Giuliani SSP MSA,MSA,extraction,4,1088,903,1991,likely gpt-4.1-mini
7/23/2025 20:48,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/23/2025 21:13,Giuliani SSP MSA,MSA,extraction,1,1088,674,1762,likely gpt-4.1-mini
7/23/2025 21:13,Giuliani SSP MSA,MSA,extraction,2,1088,815,1903,likely gpt-4.1-mini
7/23/2025 21:13,Giuliani SSP MSA,MSA,extraction,3,1088,862,1950,likely gpt-4.1-mini
7/23/2025 21:13,Giuliani SSP MSA,MSA,extraction,4,1088,917,2005,likely gpt-4.1-mini
7/23/2025 21:13,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/23/2025 21:19,Giuliani SSP MSA,MSA,extraction,1,1088,674,1762,likely gpt-4.1-mini
7/23/2025 21:19,Giuliani SSP MSA,MSA,extraction,2,1088,815,1903,likely gpt-4.1-mini
7/23/2025 21:19,Giuliani SSP MSA,MSA,extraction,3,1088,886,1974,likely gpt-4.1-mini
7/23/2025 21:19,Giuliani SSP MSA,MSA,extraction,4,1088,921,2009,likely gpt-4.1-mini
7/23/2025 21:19,Giuliani SSP MSA,MSA,extraction,5,1088,882,1970,likely gpt-4.1-mini
7/23/2025 21:19,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,1,1088,840,1928,likely gpt-4.1-mini
7/23/2025 21:19,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,2,1088,768,1856,likely gpt-4.1-mini
7/23/2025 21:19,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,3,1088,927,2015,likely gpt-4.1-mini
7/23/2025 21:19,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,4,1088,491,1579,likely gpt-4.1-mini
7/23/2025 21:19,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,5,1088,958,2046,likely gpt-4.1-mini
7/23/2025 21:35,Giuliani SSP MSA,MSA,extraction,1,1088,677,1765,likely gpt-4.1-mini
7/23/2025 21:35,Giuliani SSP MSA,MSA,extraction,2,1088,809,1897,likely gpt-4.1-mini
7/23/2025 21:35,Giuliani SSP MSA,MSA,extraction,3,1088,880,1968,likely gpt-4.1-mini
7/23/2025 21:35,Giuliani SSP MSA,MSA,extraction,4,1088,905,1993,likely gpt-4.1-mini
7/23/2025 21:35,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/23/2025 21:43,Giuliani SSP MSA,MSA,extraction,1,1088,675,1763,likely gpt-4.1-mini
7/23/2025 21:43,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,1,1088,875,1963,likely gpt-4.1-mini
7/24/2025 19:49,Giuliani SSP MSA,MSA,extraction,1,1088,679,1767,likely gpt-4.1-mini
7/24/2025 19:49,MAT1130 Engg Standard Hydraulic Tubes,Engg_Standard,extraction,1,1088,839,1927,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,1,1088,678,1766,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,2,1088,815,1903,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,3,1088,889,1977,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,4,1088,921,2009,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,5,1088,882,1970,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,1,1088,676,1764,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,2,1088,809,1897,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,3,1088,885,1973,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,4,1088,917,2005,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,5,1088,871,1959,likely gpt-4.1-mini
7/25/2025 20:41,Giuliani SSP MSA,MSA,extraction,1,1088,680,1768,likely gpt-4.1-mini
